Código,Descripción,Precio ₡,Precio $ (ref),% IVA,publicar,nota
APOB,APOLIPOPROTEÍNA B,30000,0,4,SI,
83,AZUCARES REDUCTORES Y NO REDUCTORES,14000,11.13,4,SI,
Metil,Acido Metilmalónico,150000,296.4,4,SI,
Febril,Aglutinaciones febriles,12000,17.06,4,SI,
Albu,Albumina Serica,11000,0,4,SI,
IgE alergeno,Alergeno (IgE),5000,0,4,SI,
Jo-1,Anti Jo-1,23500,46.8,4,SI,
Mi-2,Anti Mi-2,93600,197.6,4,SI,
Anti Mitocondrias,Anti Mitocondrias,23000,52,4,SI,
Scl-70,Anti Scl-70,24500,46.94,4,SI,
Nucleo,Anti-Nucleosomas,106400,208,4,SI,
centromero,Anticuerpos Anti-Centromero,21650,41.44,4,SI,
PSA ZF,Antígeno Prostático (Zona Franca),11899.68,22.88,4,SI,
B OSEO,BALANCE OSEO,65000,0,4,SI,
BETA2,BETA 2 GLICOPROTEINA,20000,40,4,SI,
74,BILIRRUBINA TOTALES Y FRACCIONADAS,14000,22.15,4,SI,
BNP,BNP/PEPTIDO NATRIURETICO B,30000,0,4,SI,
BAS,"BÁSICO (hemograma, perfil de lípidos, glucosa, ego)",40000,59.28,4,SI,
CA15-3,CA 15-3,20000,0,4,SI,
CA19-9,CA 19- 9,20000,0,4,SI,
ca 72-4,"CA 72-4 (COLONRECTAL, OVARIO, ESTOMAGO)",36000,0,4,SI,
ca-125,CA-125,20000,36.4,4,SI,
62,CALCIO (SUERO),10000,15.29,4,SI,
CAL OR,CALCIO ORINA 24H,10000,0,4,SI,
cal,CALCITONINA,60000,0,4,SI,
calculo,CALCULOS RENALES O BILIARES,25000,0,4,SI,
CALP,CALPROTECTINA,35000,46.8,4,SI,
CARBA,CARBAMAZEPINA (TEGRETOL),15500,0,4,SI,
car,CARIOTIPO,130000,0,4,SI,
CEL,CELIACO,218400,358.8,4,NO,Descontinuado: reemplazado por CELBAS (Control Celiaco Basico) y CELCOM (Control Celiaco Completo)
CELBAS,"CONTROL CELIACO BASICO (Trasglutaminasa IgA, Anti-gliadina IgA, Anti-endomisio IgA)",78000,0,4,SI,
CELCOM,"CONTROL CELIACO COMPLETO (Trasglutaminasa IgA, Anti-gliadina IgA, Anti-endomisio IgA, HLA DQ2/DQ8)",158000,0,4,SI,
LE,CELULAS LE,11000,0,4,SI,
CER,CERULOPLASMINA,15000,0,4,SI,
POLI,CHEQUEO FUERZA PUBLICA,43680,7.28,4,SI,
401,CK TOTAL,11000,17.06,4,SI,
402,CK-MB,20000,45.03,4,SI,
312,CLORUROS (SUERO),9500,15.29,4,SI,
CLOST,CLOSTRIDUIM TOXINA,35000,0,4,SI,
COBRE,COBRE,25000,0,4,SI,
COC CUAL,COCAINA CUALITATIVA,10000,0,4,SI,
COC CUANT,COCAINA CUANTITATIVA,18000,0,4,SI,
306,COLESTEROL TOTAL,7000,8.53,4,SI,
COLICO,COLICO LACTANTE,63960,41.6,4,SI,
319,COLINESTERASA ERITROCITICA,14000,22.15,4,SI,
318,COLINESTERASA SERICA,14000,17.06,4,SI,
508,COMPLEMENTO C3,16500,25.58,4,SI,
509,COMPLEMENTO C4,16500,25.48,4,SI,
FEMEMINO,"CONTROL FEMENINO 40+ (Hemograma, Perfil de lipidos, Glucosa, CA-125, Vitamina D, TSH, Examen general de orina de cortesía)",109000,0,4,SI,
MASC,"CONTROL MASCULINO 40+ (Hemograma, Perfil de lípidos, Glucosa, Antígeno prostático (PSA), Función renal, Examen general de orina de cortesía).",71000,0,4,SI,
CD,COOMBS DIRECTO,12000,0,4,SI,
CI,COOMBS INDIRECTO,15000,0,4,SI,
copro,COPROCULTIVO,21000,41.6,4,SI,
CORT,CORTISOL,18000,0,4,SI,
58,CREATININA,7000,8.53,4,SI,
CTX,CTX telopéptidos,35000,0,4,SI,
cfs,CULTIVO FOSAS NASALES,20000,20800,4,SI,
CTG 75,CURVA TOLERANCIA GLUCOSA 75G,25001,0,4,SI,
Campy,Campylobacter en heces,18200,36.4,4,SI,
Coag,"Coagulación (TP, TTP)",23000,43.75,4,SI,
Cobre Orina,Cobre en orina,25000,52,4,SI,
DEPORT,"Control Deportista (Hemograma, Perfil de lípidos, Glucosa, Perfil renal, Electrolitos (Na, K, Cl), CPK, Examen general de orina de cortesía)",92000,0,4,SI,
COMP,"Control Salud Completo( Hemograma, Perfil de lipidos, Glucosa, Perfil renal, Perfil hepatico, Acido urico, Examen de general orina y heces de cortesía)",109000,0,4,SI,
DEP,DEPORTISTA,77500,135.2,4,SI,
404,DESHIDROGENASA LACTICA (SUERO),11000,17.06,4,SI,
629,DETECCION MOLECULAR DE ETS (9 AGENTES),75500,104,4,SI,
630,DETECCION MOLECULAR DE PAPILOMA HUMANO,62500,119.66,4,SI,
DHEAS,DHEAS-SO4,16500,26,4,SI,
DIM,DIMERO D,26000,33.28,4,SI,
DHT total,Dihidrotestosterona,143000,277.68,4,SI,
DHT libre,Dihidrotestosterona libre,200100,387.92,4,SI,
317,"ELECTROLITOS (SODIO, POTASIO, CLORUROS) SUERO",27000,42.64,4,SI,
eos,EOSINOFILOS,10000,0,4,SI,
esper,ESPERMOGRAMA,19000,20.8,4,SI,
703,ESTRADIOL,16500,26,4,SI,
ETS COMP,ETS COMPLETO,89500,136.24,4,SI,
